index,erabuilt,numstories,roofshape,fpAreas,occupancy2,fparea,repaircost,constype,occupancy,Lat,Lon
2884,1969,1,Gable,3102,Other,1372.0,287226.123,W1,RES1,37.90502164666667,-122.47824978666667
2885,1969,1,Gable,4955,Residential,3621.0,516580.049,RM1,RES1,37.90454065263158,-122.47760251052632
2886,1969,1,Hip,3115,Residential,3944.0,541958.38,RM1,RES1,37.905024492592595,-122.47781096666667
2887,1969,1,Flat,2256,Residential,1873.0,347884.755,W1,RES1,37.90495500666667,-122.47880194666665
2888,1969,2,Hip,2769,Residential,5456.0,675369.397,RM1,RES1,37.90497599999999,-122.47932437647057
2889,NA,NA,Flat,732,Residential,,,,,37.90465218000001,-122.47936938000001
2890,1969,1,Flat,2055,Residential,1709.0,327208.921,RM1,RES1,37.90463248888889,-122.4791098777778
2891,1969,1,Gable,3266,Residential,1964.0,358010.005,RM1,RES1,37.904363806060594,-122.47900252424243
2892,1969,2,Flat,2779,Other,4188.0,575691.415,W1,RES1,37.904052092307694,-122.47970583846154
2893,1969,2,Hip,2626,Residential,5073.0,646377.937,W1,RES1,37.90440953157895,-122.4797924736842
2894,1969,2,Gable,3323,Residential,5537.0,681144.476,RM1,RES1,37.90364976428572,-122.4798386357143
2895,1969,1,Flat,3523,Residential,3383.0,495710.505,RM1,RES1,37.90387861538461,-122.47932416153846
2896,NA,NA,Gable,2835,Residential,,,,,37.90326838,-122.47949686
2897,NA,NA,Flat,209,Residential,,,,,37.9033903,-122.47942584000002
2898,1969,2,Flat,2330,Residential,2962.4739,455875.809,RM1,COM2,37.903106255555564,-122.4800870888889
2899,1969,2,Gable,2214,Residential,1046.29854,180279.825,S1,AGR1,37.903317914285715,-122.48016752857143
2900,1969,1,Gable,2404,Residential,2560.0,417119.6,RM1,RES1,37.902966255555555,-122.48069564444444
2901,NA,NA,Hip,724,Residential,,,,,37.90233878888889,-122.48109915555557
2902,1964,1,Gable,2858,Residential,2307.0,392448.143,RM1,RES1,37.90225438,-122.48097628000002
2903,1964,1,Hip,2212,Residential,1777.0,336301.085,W1,RES1,37.9024815,-122.48050161111112
2904,1964,1,Flat,2810,Residential,2006.0,362503.988,W1,RES1,37.902516952631586,-122.48020399999999
2905,1964,1,Flat,1869,Residential,1531.0,304846.827,RM1,RES1,37.9025858,-122.47993535555555
2906,1964,1,Gable,3290,Residential,1738.0,331123.22,RM1,RES1,37.9026378909091,-122.47968419999998
2907,1964,2,Hip,3482,Residential,3525.0,510770.385,W1,RES1,37.90257534285714,-122.4793541238095
2908,1964,1,Hip,2431,Residential,1178.0,266840.256,RM1,RES1,37.90222135454546,-122.47925974545456
2909,1964,2,Gable,1437,Residential,1484.0,268486.942,RM1,RES1,37.902103518181825,-122.47959676363635
2910,1964,1,Hip,2674,Other,1995.0,361315.862,W1,RES1,37.90213862631578,-122.48003288947369
2911,1964,1,Gable,1813,Residential,952.0,233087.07,W1,RES1,37.90185536363637,-122.48087197272729
2912,1964,1,Gable,1658,Residential,1391.0,288913.174,W1,RES1,37.90166961818182,-122.48108073636364
2913,1964,1,Gable,2485,Residential,3497.0,505936.557,RM1,RES1,37.9019586,-122.48053735882353
2914,1964,1,Hip,2843,Residential,1466.0,297582.113,RM1,RES1,37.90118334444444,-122.4797988
2915,NA,NA,Hip,671,Residential,,,,,37.90143234,-122.47947886
2916,1964,2,Gable,5139,,7387.0,827872.618,W1,RES1,37.90153850666666,-122.47889530666667
2917,1964,1,Gable,3547,,967.033116,148305.055,W1,COM4,37.90098134615385,-122.47813818461537
2918,1975,2,Hip,2498,Residential,3116.0,467440.069,W1,RES1,37.903236570370375,-122.49157858148153
2919,1975,2,Hip,3596,Residential,1420.96653,347497.132,C1,IND2,37.902921166666665,-122.49169181000002
2920,1975,2,Hip,4024,Residential,4535.0,604211.505,W1,RES1,37.90295021428572,-122.49103424761904
2921,1975,2,Hip,4528,Residential,5217.0,657604.363,W1,RES1,37.903335934482755,-122.490810037931
2922,1960,2,Gable,2596,Residential,3434.0,474928.166,W1,RES1,37.902464346153856,-122.49065415384614
2923,1960,1,Hip,2977,Residential,3370.0,462435.059,RM1,RES1,37.902130533333334,-122.49044391111114
2924,1960,1,Hip,4035,Other,3747.0,493124.754,W1,RES1,37.90185933157895,-122.49016314210526
2925,1960,1,Hip,4423,Residential,4311.0,551103.065,RM1,RES1,37.90312061724138,-122.4892640034483
2926,1960,2,Gable,4605,Residential,5011.0,610282.788,RM1,RES1,37.903062876,-122.48874168000002
